Campaign,Ad group,Match type,Keyword,Final URL,Priority,Intent note
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Phrase,"alugar imovel sem imobiliaria",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Proprietario buscando alugar direto
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Exact,[alugar imovel sem imobiliaria],https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Termo central proprietario
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Phrase,"como alugar meu imovel sem imobiliaria",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Dono do imovel com necessidade ativa
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Phrase,"contrato aluguel sem imobiliaria",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Precisa de contrato para aluguel direto
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Exact,[contrato aluguel sem imobiliaria],https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Termo de compra
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Phrase,"contrato de aluguel direto com inquilino",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Alta,Proprietario em fechamento
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,proprietario_sem_imobiliaria,Phrase,"documentos para alugar imovel direto",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Media,Busca de processo e checklist
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,garantia_caucao_vistoria,Phrase,"caucao aluguel direto proprietario",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Media,Dor de garantia
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,garantia_caucao_vistoria,Phrase,"vistoria aluguel direto proprietario",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Media,Dor operacional antes das chaves
GS_BR_PROPRIETARIO_ALUGUEL_SEM_IMOB_202606,garantia_caucao_vistoria,Phrase,"como fazer vistoria de aluguel",https://imovelexplicado.com.br/aluguel-direto?utm_source=google&utm_medium=cpc&utm_campaign=gs_proprietario_aluguel_202606,Media,Interesse pratico
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Phrase,"contrato para corretor de imoveis",https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606,Alta,Corretor buscando solucao documental
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Phrase,"contrato imobiliario para corretor",https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606,Alta,Termo B2B
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Phrase,"elaboracao contrato imobiliario",https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606,Media,Pode atrair publico amplo, monitorar termos
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Phrase,"apoio documental corretor de imoveis",https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606,Alta,Dor direta do corretor
GS_BR_CORRETOR_APOIO_DOCUMENTAL_202606,corretor_contratos,Phrase,"servico contrato aluguel corretor",https://imovelexplicado.com.br/corretor?utm_source=google&utm_medium=cpc&utm_campaign=gs_corretor_documental_202606,Media,Busca operacional

